hsk3.0	traditional	simplified	pinyin	translation
3	歡樂	欢乐	huānlè	happy, joyous, gay
3	環	环	huán	ring, link
3	環保	环保	huánbǎo	environmental protection
3	環境	环境	huánjìng	circumambiency, environmental, circumstances, environment, entourage, surround, atmosphere, setting, surroundings, ambiance, condition, context, circumstance, surrounding, frame, milieu, ambient, consideration, environs, medium, ambience
3	會議	会议	huìyì	synod, moot, conference, board, convocation, soviet, congress, talks, indaba, negotiation, junta, group discussion, convention, meeting place, session, council, rendezvous, colloquy, coming together, powwow, seance, meeting, forum, consultation, roll-up, get-together, assembly
3	會員	会员	huìyuán	member
3	活	活	huó	alive, live, vivid, save (sb.'s life), activate, save, be
3	火	火	huǒ	fire;internal heat, anger, temper;firearms, ammunition
3	機器	机器	jīqì	enginery, life, machinery, machine, plant, apparatus, engine, gizmo
3	積極	积极	jījí	positive, active, energetic, vigorous
3	基本	基本	jīběn	fundamental, essential, main
3	基本上	基本上	jī běn shang	basically, on the whole
3	基礎	基础	jīchǔ	base, foundation
3	及時	及时	jíshí	timely, in time, promptly
3	…極瞭	…极了	jíle	…Extremely
3	集體	集体	jítǐ	collective
3	集中	集中	jízhōng	concentrate, centralize, focus, put together
3	計算	计算	jìsuàn	count, calculate, compute
3	記錄	记录	jìlù	record, note
3	記者	记者	jìzhě	journalist, writer, correspondent, newspaperwoman, newspaperman, gazetteer, newswriter, reporter, pressman, newshound, newsman, newsperson
3	紀錄	纪录	jìlù	minutes, notes, record, record
3	紀念	纪念	jìniàn	commemorate, mark
3	技術	技术	jìshù	mechanics, know-how, prowess, science, Minerva, superior skill, art, competence, technology, craft, craftsmanship, skill, education, technique, artistry, engineering, technological, equipment, technical
3	繼續	继续	jìxù	go, resume, keep_on, abide, come on, persist in, extend, run_on, run on, carry_on, stretch, sustain, pursue, keep going, continuance, get_along, get_on, remain, continue, keep_up, go ahead, keep up, come up, continuation, hold, carry, run, go_on, maintain, go on, bide, plow ahead, hold_on, piece, restart
3	加工	加工	jiāgōng	process
3	加快	加快	jiākuài	speed up, accelerate
3	加強	加强	jiāqiáng	strengthen, augment, reinforce
3	家具	家具	jiājù	household goods, movable, furnishings, furniture, home furnishings, household stuff, implement, household furnishings, fitment
3	家屬	家属	jiāshǔ	blood relative, kinswoman, kinsman, household, kinfolk, kin, dependent, kinsfolk, family members, family dependents, cognate, folk, sib, people, dependents, blood relation, family members/dependents
3	家鄉	家乡	jiāxiāng	fatherland, country, home, country of origin, native place, mother country, hometown, native land, motherland, homeland
3	價格	价格	jiàgé	price
3	價錢	价钱	jiàqián	cost, monetary value, rate, price
3	價值	价值	jiàzhí	value, worth
3	架	架	jià	m.[general]
3	堅持	坚持	jiānchí	persist in, insist on
3	堅決	坚决	jiānjué	firm, determined
3	堅強	坚强	jiānqiáng	strong, firm, staunch
3	簡單	简单	jiǎndān	terse, casual, commonplace, simple, oversimplified, ordinary, uncomplicated
3	簡直	简直	jiǎnzhí	simply, really
3	建	建	jiàn	establishment, erection, build, proposal, propose, set up, establish, found, advocate, erect, construction, construct
3	建成	建成	jiàn chéng	to establish, to build
3	建立	建立	jiànlì	establish, set up, found
3	建設	建设	jiànshè	construction
3	建議	建议	jiànyì	propose, suggest, recommend
3	將近	将近	jiāngjìn	almost
3	將來	将来	jiāng lái	in the future, future, the future, CL:個|个[ge4]
3	交費	交费	jiāofèi	Pay a fee
3	交警	交警	jiāo jǐng	traffic police, abbr. for 交通警察
3	交流	交流	jiāoliú	exchange, interflow, interchange
3	交往	交往	jiāowǎng	associate, contact
3	交易	交易	jiāoyì	deal, trade, transaction
3	叫	叫	jiào	to be called
3	較	较	jiào	rather, quite, relatively, more
3	教材	教材	jiàocái	textbook, teaching material
3	教練	教练	jiàoliàn	training, drillmaster, wise man, tutor, drilling, handler, coacher, coach, instructor, private instructor, trainer, mentor
3	結實	结实	jiē shi	to bear fruit, rugged, sturdy, strong, durable, buff (physique)
3	接待	接待	jiēdài	receive (guests), serve (customers)
3	接近	接近	jiējìn	approach, near, be close to
3	節約	节约	jiéyuē	economize, save
3	結合	结合	jiéhé	combine, unite, integrate, link, be joined in wedlock
3	結婚	结婚	jiéhūn	middle-aisle, intermarry, mate, conjoin, get married, couple, married, espouse, pair, marry, unite, get_married, get hitched with, spouse, splice, hook up with, wed
3	結束	结束	jiéshù	end, close, conclude
3	解決	解决	jiějué	solve, resolve, settle, dispose of, finish off
3	解開	解开	jiěkāi	unknot, loose, uncouple, unbuckle, unyoke, reel off, disengage, unreel, unloosen, disentwine, detach, untie, unwreathe, unlock, ravel, disentangle, unbraid, unsnarl, unhook, unfasten, unwind, unroll, tease apart, loosen, unhitch, unlace, undone, tease, unwire, uncord, unwrap, unleash, unthread, undo, disassemble, ravel out, disconnect, unlink, sleave, untangle, unpack, puzzle_out, unbend, u
3	金	金	jīn	metals, gold, money, ancient metal percussion instruments
3	金牌	金牌	jīnpái	gold medal
3	僅	仅	jǐn	scantily, simply, alone, merely, barely, only, but, just
3	僅僅	仅仅	jǐnjǐn	strictly, solely, exclusively, entirely, alone, merely, only, purely, simply, scantly, narrowly, barely, just
3	儘量	尽量	jǐnliàng	to the best of one's ability
3	緊	紧	jǐn	tighten, tight, hard up, strict, urgent, tense, taut, stringent
3	緊急	紧急	jǐnjí	urgent, critical
3	緊張	紧张	jǐnzhāng	be nervous
3	進步	进步	jìnbù	progress, advance, improve
3	進一步	进一步	jìnyībù	go step further
3	進展	进展	jìnzhǎn	progress, advance
3	近期	近期	jìn qī	near in time, in the near future, very soon, recent
3	京劇	京剧	Jīng jù	Beijing opera, CL:場|场[chang3],出[chu1]
3	經濟	经济	jīngjì	economy, financial condition, income
3	經歷	经历	jīnglì	go through, undergo, experience
3	經驗	经验	jīngyàn	experience
3	經營	经营	jīngyíng	manage, run, engage in
3	精彩	精彩	jīngcǎi	brilliant, splendid
3	精神	精神	jīngshén	god, guts, heart, pneuma, consciousness, vigor, life, energy, vim, courage, esprit, moral, get-up-and-go, ginger, vitality, Psyche, psyche, spunk, gumption, juice, sand, mind, mental, mens, mickey, mettle, nature, grit, oomph, genius, vigour, substance, psychic, backbone, nous, nerve, pazazz, essence, pep, spirit, inward, drive, push, soul, gist
3	景色	景色	jǐngsè	view, scenic, outlook, perspective, scene, scenery, prospect, landscape
3	警察	警察	jǐngchá	police officer, cop, trooper, bluecoat, finest, jack, peon, policeman, police force, constable, policemen, flattie, fuzz, constabulary, shamus, bull, bobby, robert, copper, tipstaff, rozzer, flatfoot, john, peeler, Vopo, law, runner, officer, gumshoe, pig, police, the police, beetle-crusher, flic
3	靜	静	jìng	still, quiet, calm
3	久	久	jiǔ	for long time, of specified duration
3	舊	旧	jiù	old, aged, onetime, bygone, used, worn, past, former
3	救	救	jiù	relief, relieve, help, salve, salvage, rescue, save, succour
3	就是	就是	jiùshì	conj.: even if, even
3	就業	就业	jiùyè	get or take up a job
3	舉辦	举办	jǔbàn	conduct, hold, run
3	具體	具体	jùtǐ	concrete, specific, particular
3	具有	具有	jùyǒu	be provided with, have, have got, possess, hold, possession, carry, inhere, bear
3	劇場	剧场	jùchǎng	theater
3	據說	据说	jùshuō	they say, it is said, it is said that..., reputedly, allegedly
3	決定	决定	juédìng	decide, resolve, make up one's mind, determine
3	決賽	决赛	juésài	runoff, fight-off, cup_final, playoff, cup final, match_game, finals, final, run-off
3	決心	决心	juéxīn	determination, resolution
3	絕對	绝对	juéduì	absolutely, definitely
3	咖啡	咖啡	kāfēi	arabica, coffee, cafe, Java, java, mocha, blackstrap
3	開發	开发	kāifā	develop, open up, exploit
3	開放	开放	kāifàng	lift a ban/etc., be turned on, be in operation
3	開始	开始	kāishǐ	begin, start
3	開業	开业	kāi yè	to open a business, to open a practice, open (for business)
3	開展	开展	kāizhǎn	develop, launch, unfold
3	看起來	看起来	kànqǐlái	it looks as if, on the face of it, it appears, it seems, ostensibly, seemingly, apparently, it look as if
3	看上去	看上去	kàn shang qu	it would appear, it seems (that)
3	考驗	考验	kǎoyàn	test, trial
3	科技	科技	kējì	technology, tech, engineering science, applied science, science and technology, technological, engineering
3	可靠	可靠	kěkào	reliable, dependable
3	可樂	可乐	kě lè	amusing, entertaining, (loanword) cola
3	克服	克服	kèfú	surmount, conquer, put up with (hardship/etc.)
3	客觀	客观	kèguān	objective
3	課程	课程	kèchéng	course of instruction, lesson, course, course of lectures, course of study, curricular, class, curricula, syllabus, curriculum, program
3	空	空	kòng	free, with spare time
3	空調	空调	kōngtiáo	air conditioner, air-conditioning, air-conditioner
3	恐怕	恐怕	kǒngpà	perhaps
3	空兒	空儿	kòngr	spare time, free time
3	褲子	裤子	kùzi5	breeches, pant, unmentionables, britches, trouser, continuation, breeks, bags, unmentionable, inexpressible, pants, pantaloon, trousers
3	快速	快速	kuàisù	expeditious, high-speed, fast, rapid, clip
3	睏	困	kùn	sleepy, tired
3	困難	困难	kùnnán	difficult
3	浪費	浪费	làngfèi	waste, squander
3	老百姓	老百姓	lǎobǎixìng	plebe, populace, mister, civilians, roturier, ordinary people, common people
3	老闆	老板	lǎobǎn	proprietor, chief, shopkeeper, Tuan, baas, honcho, hirer, storekeeper, milord, bwana, mugwump, cit, market keeper, buckra, governor, boss, joss, tradesman, employer, guv
3	老太太	老太太	lǎotàitài	old lady, your (my/his/etc.) mother
3	老頭兒	老头儿	lǎotóur	see 老頭子|老头子[lao3 tou2 zi5]
3	樂	乐	lè	happy, cheerful, be glad to, enjoy, be amused
3	樂觀	乐观	lèguān	be optimistic; be hopeful
3	類	类	lèi	m.[kind]
3	類似	类似	lèisì	analogize, conform, analogic, be similar to, resemble, similar, analogous
3	離婚	离婚	líhūn	divorce
3	裡面	里面	lǐmiàn	inside, interior
3	理髮	理发	lǐ fà	a barber, hairdressing
3	理解	理解	lǐjiě	understand, comprehend
3	理論	理论	lǐlùn	theory
3	理由	理由	lǐyóu	excuse, reasoning, reason, wherefore, argument, meaning, account, cause, room, alibi, substance, warranty, matter, justification, occasion, score, warrant, ground, sake, why, grounds, consideration, self-justification, skill
3	力	力	lì	power, strength, ability, force, physical strength
3	力量	力量	lìliàng	fibre, strength, potency, ability, guts, kick, cogency, point, dint, energy, mightiness, physical strength, demon, force, punch, whiz, tooth, might, forcefulness, exercise, fiber, powerfulness, lift, pith, leverage, agency, push, muscle, power
3	立刻	立刻	lìkè	in a short time, at_once, promptly, offhand, at once, anon, instantly, straightway, now, slapbang, pronto, right_away, immediately, without delay, right away, forthwith, presto, at a time, before long, in a minute, swith, directly, in no time, incontinent, subito, without_delay, in real time, shortly, tout-de-suite, away, soon, presently, in a few seconds, very fast, chop-chop, at o
3	利用	利用	lìyòng	use, utilize, take advantage of, exploit
3	連	连	lián	conj.: including
3	連忙	连忙	lián máng	promptly, at once
3	連續	连续	liánxù	continuously, successively
3	連續劇	连续剧	lián xù jù	serialized drama, dramatic series, show in parts
3	聯合	联合	liánhé	unite, ally
3	聯合國	联合国	liánhéguó	alignment, United Nations, United_Nations, alliance, confederation, coalition, confederate, alinement, UN
3	聯繫	联系	liánxì	integrate, relate, link, get in touch with
3	涼水	凉水	liáng shuǐ	cool water, unboiled water
3	了	了	le	entirely
3	領	领	lǐng	receive, draw, get, have jurisdiction over, be in possession of
3	領導	领导	lǐngdǎo	lead, exercise leadership
3	領先	领先	lǐngxiān	lead, lead (in competition), precede, lead_up, be in lead, show, be in the lead, get the jump
3	另外	另外	lìngwài	conj.: in addition, besides, moreover
3	另一方面	另一方面	lìngyīfāngmiàn	conj.: on the other hand
3	留學	留学	liúxué	study abroad
3	龍	龙	lóng	dragon, dinosaur
3	錄	录	lù	surname Lu, diary, record, to hit, to copy
3	錄音	录音	lùyīn	record sound
3	路線	路线	lùxiàn	track, path, cart track, way of life, itinerary, route, cartroad, course, road, channel, line, way, routeway, pipeline, curriculum
3	旅館	旅馆	lǔguǎn	gasthaus, caravanserai, nonresident, roadhouse, hotel, lodge, hostler, hostel, fonda, ordinary, inn, hostelry
3	旅行社	旅行社	lǔxíngshè	a tourist agency, travel_agency, a travel agency, travel service/agent, travel service, travel agent, travel agency
3	綠茶	绿茶	lǜ chá	green tea
3	亂	乱	luàn	indiscriminate, riot, mix up, arbitrary, confused, throw into diorder, confuse, jumble, confusion, random, mishandle, in a turmoil, in a confused state of mind, snarl, in disorder, disturb
3	落後	落后	luòhòu	fall/lay behind
3	麻煩	麻烦	máfán	trouble sb., bother
3	馬	马	mǎ	horse
3	滿足	满足	mǎnzú	fulfill, fit, cope with, fill, be satisfied/contented, gloat, contented, arrive, be satisfied, satisfy, sate, gratify, serve, meet, appease, replete, supply, satisfied, fulfill, suffice, assuage, satiate, content, be contented, conform to, suit, match
3	慢慢	慢慢	mànmàn	slowly; gradually
3	毛	毛	máo	Mao, wool, bristle, nap, pilus, down, feather, mold, mildew, Surname, hair, 1 1 0 th yuan, 1 0 th yuan, dime, silk, cent, fur, marking
3	毛病	毛病	máobìng	trouble, mishap, breakdown, defect, shortcoming, fault, mistake, illness
3	沒用	没用	méi yòng	useless
3	媒體	媒体	méitǐ	mass media, media, medium
3	每	每	měi	det.: every
3	美	美	měi	beautiful, pretty
3	美好	美好	měihǎo	fine, happy, glorious
3	美麗	美丽	měilì	beautiful
3	美食	美食	měishí	cate, luxury, good food, delicious food, fleshpot
3	美術	美术	měishù	constructivism, beaux arts, beaux-arts, artistic production, artistic creation, painting, fineart, fine_art, cubism, art, fine arts
3	美元	美元	měiyuán	m.[standard]
3	迷	迷	mí	to bewilder, crazy about, fan, enthusiast, lost, confused
3	米	米	mǐ	rice, shelled/husked seed
3	面對	面对	miànduì	face up, stand up, face, look_out_on, confront, front, affront, envisage, accost, breast
3	面積	面积	miànjī	area unit, area, superficies, superficial, acreage, expanse, surface_area, square_measure, surface area, content, space, square measure
3	民間	民间	mínjiān	grass roots, people-to-people, nongovernmental, among the people, folk, popular
3	民族	民族	mínzú	tribe, citizenry, ethnos, ethnic minority/group, race, nationality, group, Volk, nation, folk, people, ethnic group, ethnographer, family, ethnic minority
3	明確	明确	míngquè	define, make clear/definite, make definite, definite, make clear
3	明顯	明显	míngxiǎn	clear, obvious
3	命運	命运	mìngyùn	foredoom, lot, appointment, lottery, fortune, chance, dole, circumstances, allotment, predestination, cup, luck, fare, destiny, portion, kismet, fate, doom, line, fatality, weird, hazard, karma
3	某	某	mǒu	det.: some, certain
3	母親	母亲	mǔqīn	venter, materfamilias, mother, mither, sultana, maternal, female parent, mater
3	木頭	木头	mù tou	slow-witted, blockhead, log (of wood, timber etc), CL:塊|块[kuai4],根[gen1]
3	目標	目标	mùbiāo	polestar, objective, goal, bourn, object, meaning, aim, end point, target, cause, landmark, butt, lodestar, bull's eye, mark, tee, cynosure, end, bell ringer, loadstar, quaesitum, destination
3	目前	目前	mù qián	at the present time, currently
3	奶茶	奶茶	nǎi chá	milk tea
3	男子	男子	nánzǐ	man, male
3	南部	南部	nánbù	meridional, the southern part of the country, southern part, South, south, the south
3	難道	难道	nándào	Do you really mean to say that...
3	難度	难度	nán dù	trouble, problem
3	內	内	nèi	inside
3	內容	内容	nèiróng	subject_matter, content, cognitive content, internal, contents, mental object, meat, substance, matter, lining
3	內心	内心	nèixīn	interior, inner being, conscience, inside, breast, bosom, innermost being, incenter, heart
3	能不能	能不能	néng bùnéng	Can you
3	能力	能力	nénglì	department, potency, ability, acquisition, acquirement, capacity, performance, oomph, sufficiency, energy, competence, accomplishment, size, might, faculty, hand, coequal, efficiency, inner resources, capability, giftie, attainment, capableness, zip, skill, competency, power
3	年初	年初	niánchū	beginning of year
3	年代	年代	nián dài	a decade of a century (e.g. the Sixties), age, era, period, CL:個|个[ge4]
3	年底	年底	nián dǐ	the end of the year, year-end
3	年紀	年纪	niánjì	years, old age, age
3	念	念	niàn	study, read, attend school, think_of, read aloud, think of, miss
3	牛	牛	nióu	ox, cattle, cow
3	農村	农村	nóngcūn	country, village, countryside, rural area
3	農民	农民	nóngmín	mujik, farmhand, granger, boor, farm worker, peasantry, countrymen, farmer, agriculture, husbandman, muzhik, peasant, fieldhand, moujik, fellah, muzjik
3	農業	农业	nóngyè	farm, farming, geoponics, husbandry, agricultural, plow, agriculture
3	女子	女子	nǔzǐ	lady, female, femme, young lady, adult female, missy, young woman, fem, moll, womankind, fille, damsel, girl, miss, woman, wren, blade
3	暖和	暖和	nuǎn huo	warm, nice and warm
3	怕	怕	pà	I'm afraid, dread, funk, I suppose, be afraid of, fear
3	拍	拍	pāi	clap, pat, lick sb.'s boots
3	排	排	pái	stand in line, arrange, put in order, sequence
3	排名	排名	páimíng	put names in order
3	牌子	牌子	pái zi	sign, trademark, brand
3	派	派	pài	send, dispatch, assign, appoint
3	判斷	判断	pànduàn	judge, determine
3	胖	胖	pàng	fat, stout, plump
3	跑步	跑步	pǎo bù	to run, to jog, (military) to march at the double
3	配	配	pèi	match, find sth. to fit/replace sth. else, deserve, be worthy of, be qualified, compound, mix
3	配合	配合	pèihé	coordinate, cooperate
3	批評	批评	pīpíng	criticize
3	批准	批准	pī zhǔn	to approve, to ratify
3	皮	皮	pí	skin, leather, hide, wrapper, surface, thin/flat pieces/sheets, rubber
3	皮包	皮包	pí bāo	handbag, briefcase
3	啤酒	啤酒	píjiǔ	malt liquor, malt, suds, nappy, wallop, beery, malt_liquor, stout, barley-bree, brewage, beer
3	票價	票价	piào jià	ticket price, fare, admission fee
3	評價	评价	píngjià	estimate, diagnoses, appraisal, mark, rating, rate, value, assessment, esteem, image, estimation, valuation, appraisement, opinion, rank, remark, evaluation
3	蘋果	苹果	píngguǒ	mincemeat, pome, apple, Empire
3	破	破	pò	tear, split up, defeat, expose, eradicate, lay bare, cleave, expose the truth of, worn-out, break with, come apart, destroy, capture (city/etc.), defeat (enemy), broken, expose (lie/etc.), destruction, cut, separate, tattered, reveal truth, fall apart, beat, capture, split, not intact, rupture, get rid of, do away with, break
3	破壞	破坏	pòhuài	violate, destroy
3	普遍	普遍	pǔbiàn	universal, general, widespread, common
3	普及	普及	pǔjí	popularize, disseminate, spread
3	期	期	qí	m.[event]
3	齊	齐	qí	complete, prepared, together
3	其次	其次	qícì	conj.: next, second
3	其實	其实	qíshí	as a matter of fact, actually, in fact
3	奇怪	奇怪	qíguài	wonder
3	氣候	气候	qìhòu	situation, clime, climatic, climate, weather, climactic
3	千萬	千万	qiānwàn	by all means; absolutely
3	前後	前后	qiánhòu	front and rear, around or about, altogether
3	前進	前进	qiánjìn	go forward
3	前面	前面	qiánmiàn	front end, face, forepart, front, in front, ahead, preceding, above, fore, forgoing, frontage, obverse
3	前往	前往	qiánwǎng	depart, cruise, go_to, go, leave, go to, proceed to, pay, seek, leave for
3	強	强	qiáng	strong, powerful, vigorous, better, slightly more than, plus
3	強大	强大	qiángdà	big and powerful, formidable
3	強調	强调	qiángdiào	underscore, spotlight, place emphasis on, point_up, highlight, point, point up, enforce, emphasise, urge, underline, overstress, give emphasis to, play up, keynote, insist, punctuate, accent, betone, foreground, emphasize, emphatic, stress, set off, overemphasize, accentuate, bring out
3	強烈	强烈	qiángliè	strong, intense, violent
3	橋	桥	qiáo	backbend, fret, span, pons, pier arch, bridge, spar
3	巧	巧	qiǎo	clever, intelligent, skillful, ingenious, artful, deceiving, pretty, cute, opportune, fortuitous, coincidental
3	親	亲	qīn, qìng	parent, one's own (flesh and blood), relative, related, marriage, bride, close, intimate, in person, first-hand, in favor of, pro-, to kiss, (Internet slang) dear, parents-in-law of one's offspring
3	親切	亲切	qīnqiè	cordial, genial, warm
3	親人	亲人	qīnrén	those dear to one, one's parents, spouse, children, etc., one's family members, dear ones, relative, close relatives, folks
3	親自	亲自	qīnzì	personally, in person, firsthand
3	情感	情感	qínggǎn	affect, friendship, sensibility, bond, emotion, bosom, breast, sentiment, emotional, chasm, feeling, feelings
3	情況	情况	qíngkuàng	event, things, state of affairs, circumstantiality, case, circumstances, way, plight, experimental condition, streak, military situation, matter, condition, mood, circumstance, context, occasion, thing, instance, affair, shape, situation, juncture, consideration
3	請教	请教	qǐngjiào	consultation, Please enlighten me., seek advice, take counsel, consult, ask, ask for advice
3	慶祝	庆祝	qìngzhù	fete, celebration, keep, festive, commemorate, celebrate, observe, rejoice, felicitate
3	球迷	球迷	qiú mí	fan (ball sports), CL:個|个[ge4]
3	區	区	Oū, qū	surname Ou, area, region, district, small, distinguish, CL:個|个[ge4]
3	區別	区别	qū bié	difference, to distinguish, to discriminate, to make a distinction, CL:個|个[ge4]
3	取消	取消	qǔxiāo	cancel, abolish, nullify
3	去世	去世	qùshì	die, pass away
3	全場	全场	quán chǎng	everyone present, the whole audience, across-the-board, unanimously, whole duration (of a competition or match)
3	全面	全面	quánmiàn	overall, comprehensive, all-round, all-out
3	全球	全球	quánqiú	global, whole world
3	缺	缺	quē	be short of, lack
3	缺點	缺点	quēdiǎn	privilege, bug, failing, flaw, demerit, blemish, debit, limitation, mar, defect, glitch, foible, infirmity, blot, vice, drawback, disadvantage, imperfection, blemishment, weakness, tache, defection, shortcoming, malady, frailty, fault
3	缺少	缺少	quēshǎo	lack, be short of
3	確保	确保	quèbǎo	secure, insure, ensure, assure, reassure, guarantee
3	確定	确定	quèdìng	find, determination, make a point, pin down, narrow down, corroborate, prove, jell, settle, express, ensure, clench, assure, confirm, decide firmly, see, certain, define, clinch, nail_down, ascertain, determinate, guarantee, nail down, insure, fix, nail, peg, sustain, state, stipulate, secure, make_sure, seal, make sure, verify, find out, affirm, determine
3	確實	确实	quèshí	really, certainly, truly, indeed
3	裙子	裙子	qún zi	skirt, CL:條|条[tiao2]
3	群	群	qún	m.[general]
3	熱愛	热爱	rèài	love ardently
3	熱烈	热烈	rèliè	ardent
3	人才	人才	réncái	talent, capable person, a talented person, qualified personnel, a person of ability
3	人工	人工	réngōng	man-made, artificiality, manual work, manpower, art, labor
3	人類	人类	rénlèi	man, wight, human_being, human, human race, mankind, individual, human species, Homo_sapiens, populace, creature, hominid, world, mortality, microcosm, humans, humanitarianism, humanity, humanness, human beings/species, people, species, humankind, human beings, public, mortal
3	人民	人民	rénmín	multitude, citizen, quarter, Volk, hoi polloi, subject, people, nationals, masses, the people, mass, demotic
3	人民幣	人民币	rénmínbì	RMB, PRC currency
3	人群	人群	rénqún	multitude, scrooge, herd, ruck, scrouge, meiny, crowd, troop, confluence, drove, throng, flock, gang
3	人生	人生	rénshēng	lifetime, life, lifespan, human life, time of life
3	人員	人员	rényuán	strength, personnel, force, staff
3	認出	认出	rèn chū	recognition, to recognize
3	認得	认得	rèn de	to recognize, to remember sth (or sb) on seeing it, to know
3	認可	认可	rèn kě	to approve, approval, acknowledgment, OK
3	任	任	rèn	serve in a position, appoint to a position
3	任何	任何	rènhé	aught, det.: any
3	任務	任务	rènwù	imperative, assignment, cue, duty assignment, task, service, chore, labor, errand, job, lookout, undertaking, mission, military mission, duty, project, role
3	仍	仍	réng	yet, anyway, still
3	仍然	仍然	réngrán	still, yet
3	日常	日常	rì cháng	daily, everyday
3	容易	容易	róngyì	easy
3	如何	如何	rúhé	how
3	散步	散步	sànbù	take a walk
3	沙發	沙发	shāfā	lounge, settee, sofa
3	沙子	沙子	shā zi	sand, grit, CL:粒[li4],把[ba3]
3	傷	伤	shāng	injure, wound, fall ill from, damage, harm
3	傷心	伤心	shāngxīn	injure, offend, broken-hearted, be sad, pierce, hurt, grieved, sad, spite, aggrieve, grieve, be grieved, sadden, smart, wound
3	商品	商品	shāngpǐn	article, product, merchandise, commodity, wares, ware, goods
3	商業	商业	shāngyè	business enterprise, commercial, people, mercantilism, commercial pursuit, commercial enterprise, business sector, merchantry, trade, mercantile pursuit, business, commerce
3	上來	上来	shànglái	come_up, come up
3	上面	上面	shàngmiàn	surface of, aspect, higher authority, upper side, the higher authorities, on top/surface of, on surface of, top, the higher-ups, top side, upside, on top of, respect, above, on top, regard
3	上去	上去	shàng qù	to go up
3	上升	上升	shàngshēng	rise
3	上衣	上衣	shàng yī	jacket, upper outer garment, CL:件[jian4]
3	設備	设备	shèbèi	installation, set, device, appointment, plant, fixing, system, appliance, fixture, fitting, accommodation, fitment, finishing, unit, furnishings, materiel, contrivance, paraphernalia, facilities, rig, equipage, setout, facility, fixings, equipment
3	設計	设计	shèjì	design, plan
3	設立	设立	shèlì	establish, found
3	社會	社会	shèhuì	community, society, monde, social, public
3	身份證	身份证	shēn fèn zhèng	identity card, ID
3	深	深	shēn	deepen, penetrating, profound, deep, dark
3	深刻	深刻	shēnkè	deep, profound
3	深入	深入	shēnrù	thorough, deep-going
3	陞	升	shēng	litre, raise variant of 升[sheng1]
3	生	生	shēng	give birth to, bear, grow, get, have, cause to happen, make (a fire), exist, live
3	生產	生产	shēngchǎn	produce, manufacture
3	生存	生存	shēngcún	live, exist
3	生動	生动	shēngdòng	lively, moving, vivid, lifelike
3	生命	生命	shēngmìng	breath, god, head, anima, days, organism, blood, life, living thing, skin, longevity, being, vital, life form
3	生意	生意	shēngyì	business enterprise, vocation, practice, merchant, dealing, patronage, deal, commercial enterprise, trade, biz, business, dealings, racket
3	生長	生长	shēngzhǎng	grow, develop
3	聲明	声明	shēngmíng	statement, pronouncement
3	勝	胜	shèng	be superior to, surpass, succeed, win victory, be victorious, get the better of, can bear, carry, excel, be successful, win
3	勝利	胜利	shènglì	win victory/success
3	失去	失去	shīqù	desert, shear, outgrow, loss, lost, miss, lose
3	石頭	石头	shítou	stony, chimney, rock, lapis, stone
3	石油	石油	shíyóu	crude, rock oil, crude oil, oil, coal oil, fossil_oil, fossil oil, petroleum
3	時	时	shí	time (when), period, hour
3	時代	时代	shídài	day, period, a period in one's life, epoch, present time, historical period, time, chapter, period in one's life, modern times, historic period, contemporary world, times, era, modern world, age
3	時刻	时刻	shíkè	moment, occasion, juncture, sand, hour, time
3	實際上	实际上	shí jì shàng	in fact, in reality, as a matter of fact, in practice
3	實力	实力	shílì	strength, actual strength, efficiency
3	實行	实行	shíxíng	put into effect, fulfil, put ... into practice, practise, practice, put into practice/effect, live, pass, obtain, prosecute, cause, phase, meet, carry_out, pull, effect, operate, carry out, actualize, use, effectuate, put ... into effect, perform, apply, put into practice, run, implement, execute, do, make, wage, implementation
3	實驗	实验	shíyàn	experiment, test
3	實驗室	实验室	shíyànshì	lab, science lab, laboratory
3	食品	食品	shípǐn	menu, vivers, viand, chow, eatable, provisions, tuck, foodstuff, viands, nourishment, comestible, tack, nutrient, victual, food, grocery, victualage, cuisine
3	使	使	shǐ	rarefy, piss_off, germinate, drench, blow_out, leave, cut_up, refract, run, dress_up, compose, shed, frizz, put_off, trot, send, strike, send (as envoy), peal, alienate, pull_in, tone_up, bring around, astound, sublease, wither, cripple, bed_down, address, rehearse, usage, warm, smell_out, throw, inflect, get_down, skunk, capsize, congeal, bowl_over, bring_on, unseat, ensure, amalgamate, pro
3	始終	始终	shǐzhōng	all_the_time, from beginning to end, from start to finish, always, all along, evermore, throughout
3	世紀	世纪	shìjì	one C, centred, C, century, age, hundred, 100
3	世界	世界	shìjiè	mundane, creation, world, monde, orb, nature, domain
3	世界杯	世界杯	Shì jiè bēi	World Cup
3	市場	市场	shìchǎng	bourse, bazar, marketplace, grocery store, agora, bazaar, securities industry, grocery, piazza, plaza, rialto, mart, pitch, market
3	事故	事故	shìgù	circumstance, trouble, mischance, accident, mishap, affair, bad luck, natural event, happening, occurrence
3	事件	事件	shìjiàn	fact, event, page, incidental, go, case, job, natural event, timing, proceedings, social occasion, happening, occurrence, matter, occasion, incident, shebang, affair, chapter, concernment
3	事實	事实	shìshí	mood, circumstance, fact, factual, reality, verity, case, deed, sooth, troth, actuality, truth, matter, matter of fact
3	事實上	事实上	shì shí shàng	in fact, in reality, actually, as a matter of fact, de facto, ipso facto
